ID,Area(px2),Perimetro(px),DiametroEquivalente(px),Eccentricidad,Solidity
470,13.00,11.31,4.07,0.0000,1.0000
471,32.00,19.80,6.38,0.8768,0.7619
472,36.00,25.83,6.77,0.8724,0.8000
473,13.00,11.31,4.07,0.0000,1.0000
475,23.00,16.97,5.41,0.8367,1.0000
477,118.00,67.15,12.26,0.8442,0.5413
478,13.00,11.31,4.07,0.0000,1.0000
479,57.00,37.94,8.52,0.8469,0.6706
480,13.00,11.31,4.07,0.0000,1.0000
481,21.00,14.73,5.17,0.5216,1.0000
482,21.00,14.73,5.17,0.5216,1.0000
483,13.00,11.31,4.07,0.0000,1.0000
484,13.00,11.31,4.07,0.0000,1.0000
485,43.00,26.04,7.40,0.8916,0.9149
486,101.00,53.91,11.34,0.8576,0.6689
487,39.00,23.80,7.05,0.8000,0.9070
488,13.00,11.31,4.07,0.0000,1.0000
489,18.00,14.14,4.79,0.7071,1.0000
490,22.00,16.14,5.29,0.7508,0.9167
491,13.00,11.31,4.07,0.0000,1.0000
492,18.00,14.14,4.79,0.7071,1.0000
493,29.00,18.97,6.08,0.8154,0.9667
494,13.00,11.31,4.07,0.0000,1.0000
495,38.00,24.63,6.96,0.8077,0.8444
496,48.00,29.87,7.82,0.9309,0.6154
497,34.00,19.56,6.58,0.5324,1.0000
498,78.00,37.11,9.97,0.5064,0.8298
499,46.00,29.46,7.65,0.9296,0.8519
500,18.00,13.31,4.79,0.3974,1.0000
501,13.00,11.31,4.07,0.0000,1.0000
502,28.00,18.14,5.97,0.7429,0.9655
504,218.00,110.41,16.66,0.6695,0.5046
505,13.00,11.31,4.07,0.0000,1.0000
506,13.00,11.31,4.07,0.0000,1.0000
507,13.00,11.31,4.07,0.0000,1.0000
508,24.00,16.14,5.53,0.6725,1.0000
509,26.00,18.97,5.75,0.7640,0.9286
510,13.00,11.31,4.07,0.0000,1.0000
511,18.00,13.31,4.79,0.3974,1.0000
512,13.00,11.31,4.07,0.0000,1.0000
513,13.00,11.31,4.07,0.0000,1.0000
514,13.00,11.31,4.07,0.0000,1.0000
515,134.00,76.64,13.06,0.9834,0.5234
516,24.00,16.14,5.53,0.4246,1.0000
517,13.00,11.31,4.07,0.0000,1.0000
518,13.00,11.31,4.07,0.0000,1.0000
519,60.00,31.70,8.74,0.7221,0.8571
520,22.00,20.56,5.29,0.8883,0.6471
521,13.00,11.31,4.07,0.0000,1.0000
522,77.00,47.18,9.90,0.7751,0.5274
523,13.00,11.31,4.07,0.0000,1.0000
524,33.00,19.56,6.48,0.4905,0.9429
525,38.00,20.38,6.96,0.9418,0.7600
526,35.00,20.38,6.68,0.7175,1.0000
527,157.00,77.71,14.14,0.6797,0.6356
528,32.00,20.38,6.38,0.6342,0.9412
529,13.00,11.31,4.07,0.0000,1.0000
530,30.00,26.21,6.18,0.9550,0.6522
531,41.00,30.70,7.23,0.9245,0.6721
532,21.00,14.73,5.17,0.5216,1.0000
533,13.00,11.31,4.07,0.0000,1.0000
534,18.00,14.14,4.79,0.7071,1.0000
535,26.00,17.56,5.75,0.7642,0.9630
536,13.00,11.31,4.07,0.0000,1.0000
537,34.00,24.63,6.58,0.9437,0.8947
538,18.00,13.31,4.79,0.3974,1.0000
540,13.00,11.31,4.07,0.0000,1.0000
541,25.00,16.97,5.64,0.0000,1.0000
542,59.00,33.70,8.67,0.8703,0.7973
543,18.00,14.14,4.79,0.7071,1.0000
544,13.00,11.31,4.07,0.0000,1.0000
545,13.00,11.31,4.07,0.0000,1.0000
546,25.00,16.97,5.64,0.0000,1.0000
547,13.00,11.31,4.07,0.0000,1.0000
548,49.00,28.04,7.90,0.8114,0.8596
549,32.00,19.56,6.38,0.7663,0.9697
550,13.00,11.31,4.07,0.0000,1.0000
551,13.00,11.31,4.07,0.0000,1.0000
552,33.00,27.04,6.48,0.9133,0.7021
553,46.00,34.70,7.65,0.9115,0.6479
554,13.00,11.31,4.07,0.0000,1.0000
555,13.00,11.31,4.07,0.0000,1.0000
556,13.00,11.31,4.07,0.0000,1.0000
557,21.00,14.73,5.17,0.5216,1.0000
558,34.00,24.63,6.58,0.9437,0.8947
559,23.00,16.14,5.41,0.7087,0.9583
561,13.00,11.31,4.07,0.0000,1.0000
562,18.00,14.14,4.79,0.7071,1.0000
563,23.00,16.97,5.41,0.8367,1.0000
564,21.00,14.73,5.17,0.5216,1.0000
566,18.00,13.31,4.79,0.3974,1.0000
567,13.00,11.31,4.07,0.0000,1.0000
568,34.00,27.21,6.58,0.9393,0.6800
569,116.00,54.91,12.15,0.9346,0.8056
570,18.00,14.14,4.79,0.7071,1.0000
571,21.00,14.73,5.17,0.5216,1.0000
572,13.00,11.31,4.07,0.0000,1.0000
574,13.00,11.31,4.07,0.0000,1.0000
575,38.00,23.80,6.96,0.9017,0.9048
576,18.00,14.14,4.79,0.7071,1.0000
577,43.00,27.46,7.40,0.8901,0.8776
578,41.00,30.70,7.23,0.9245,0.6721
579,18.00,13.31,4.79,0.3974,1.0000
580,13.00,11.31,4.07,0.0000,1.0000
581,19.00,14.31,4.92,0.3789,0.9500
582,56.00,35.11,8.44,0.9524,0.8000
583,13.00,11.31,4.07,0.0000,1.0000
584,23.00,16.14,5.41,0.7087,0.9583
585,53.00,35.70,8.21,0.8967,0.6709
586,74.00,43.60,9.71,0.4625,0.6852
587,47.00,30.28,7.74,0.8590,0.8103
588,13.00,11.31,4.07,0.0000,1.0000
590,53.00,33.28,8.21,0.9397,0.5824
591,13.00,11.31,4.07,0.0000,1.0000
592,13.00,11.31,4.07,0.0000,1.0000
593,18.00,13.31,4.79,0.3974,1.0000
594,50.00,31.11,7.98,0.9651,0.6494
595,23.00,16.97,5.41,0.8367,1.0000
597,21.00,14.73,5.17,0.5216,1.0000
598,13.00,11.31,4.07,0.0000,1.0000
599,33.00,27.04,6.48,0.9444,0.7174
600,13.00,11.31,4.07,0.0000,1.0000
601,18.00,13.31,4.79,0.3974,1.0000
602,86.00,49.25,10.46,0.9517,0.6014
603,22.00,16.14,5.29,0.7508,0.9167
604,75.00,35.46,9.77,0.8820,0.8523
605,66.00,40.18,9.17,0.8646,0.6667
606,24.00,16.14,5.53,0.4246,1.0000
607,67.00,34.28,9.24,0.9064,0.9054
609,39.00,24.63,7.05,0.8771,0.7358
610,13.00,11.31,4.07,0.0000,1.0000
611,13.00,11.31,4.07,0.0000,1.0000
612,13.00,11.31,4.07,0.0000,1.0000
613,18.00,13.31,4.79,0.3974,1.0000
614,164.00,79.30,14.45,0.7460,0.5857
